idx,alpha = 1,alpha = 3,alpha = 5,alpha = 7,alpha = 9,alpha = 11,alpha = 13,alpha = 15,alpha = 17,alpha = 19,alpha = 21,alpha = 23,alpha = 25,alpha = 27,alpha = 29,alpha = 31,alpha = 33,alpha = 35,alpha = 37,alpha = 39,alpha = 41,alpha = 43,alpha = 45,alpha = 47,alpha = 49
k = 1,0.22386666666666666,0.5664666666666667,0.696,0.7393333333333333,0.7756,0.7931333333333334,0.8036666666666666,0.8099333333333333,0.8188666666666666,0.8244666666666667,0.8275333333333333,0.8286,0.8296666666666667,0.8326,0.8353333333333334,0.837,0.8429333333333333,0.8392,0.8385333333333334,0.8422666666666667,0.8380666666666666,0.8367333333333333,0.8442666666666667,0.8438666666666667,0.8442
k = 3,0.22853333333333334,0.6046666666666667,0.7284,0.765,0.799,0.8089333333333333,0.821,0.8244,0.8360666666666666,0.8396,0.845,0.8424666666666667,0.8428,0.8444,0.8491333333333333,0.8507333333333333,0.8492,0.8502,0.8488666666666667,0.8524666666666667,0.8522,0.8516666666666667,0.8484666666666667,0.8535333333333334,0.8525333333333334
k = 5,0.24046666666666666,0.6191333333333333,0.7370666666666666,0.7828666666666667,0.8086,0.8228666666666666,0.8266,0.8327333333333333,0.8392666666666667,0.8410666666666666,0.8445333333333334,0.8441333333333333,0.851,0.852,0.8511333333333333,0.8536,0.8517333333333333,0.85,0.8524666666666667,0.8572,0.8568666666666667,0.8522,0.8622,0.8613333333333333,0.857
k = 7,0.24893333333333334,0.6358,0.7391333333333333,0.7846666666666666,0.8061333333333334,0.8252,0.8320666666666666,0.8336,0.8455333333333334,0.8406666666666667,0.8431333333333333,0.8494666666666667,0.8477333333333333,0.8547333333333333,0.8573333333333333,0.851,0.8516,0.8589333333333333,0.8520666666666666,0.8522666666666666,0.854,0.8493333333333334,0.8588666666666667,0.8599333333333333,0.8588666666666667
k = 9,0.2592,0.6352666666666666,0.7442,0.7852,0.8079333333333333,0.8202666666666667,0.8297333333333333,0.8324666666666667,0.8382666666666667,0.8481333333333333,0.8521333333333333,0.8479333333333333,0.8464666666666667,0.8474,0.8541333333333333,0.8510666666666666,0.8514,0.8504666666666667,0.8526,0.8536,0.856,0.8554,0.8571333333333333,0.8583333333333333,0.8586666666666667
k = 11,0.2624666666666667,0.6476,0.7564,0.7854666666666666,0.8073333333333333,0.8138666666666666,0.8286666666666667,0.8386666666666667,0.8388666666666666,0.8430666666666666,0.8465333333333334,0.8454666666666667,0.8482,0.8559333333333333,0.8544,0.8518666666666667,0.8513333333333334,0.8546,0.8551333333333333,0.8558,0.8534,0.856,0.8584666666666667,0.8558,0.8571333333333333
k = 13,0.26306666666666667,0.641,0.7481333333333333,0.7904,0.8067333333333333,0.8219333333333333,0.8276666666666667,0.8371333333333333,0.8443333333333334,0.8442666666666667,0.8484666666666667,0.8470666666666666,0.8502666666666666,0.8512,0.8474,0.8531333333333333,0.8524666666666667,0.8555333333333334,0.8502,0.8553333333333333,0.8556666666666667,0.8534,0.8538666666666667,0.8548666666666667,0.8530666666666666
k = 15,0.271,0.6436,0.7521333333333333,0.7903333333333333,0.8090666666666667,0.8214,0.8286666666666667,0.8373333333333334,0.8398,0.8452,0.8446,0.8476,0.8508666666666667,0.8462666666666666,0.8475333333333334,0.8477333333333333,0.8532666666666666,0.8507333333333333,0.8513333333333334,0.8502,0.8528,0.8566,0.8528,0.8543333333333333,0.8529333333333333
k = 17,0.27353333333333335,0.6504,0.7496,0.7822,0.8094,0.8202,0.8322666666666667,0.8356666666666667,0.8435333333333334,0.8401333333333333,0.848,0.8438,0.8494,0.8467333333333333,0.8489333333333333,0.8548666666666667,0.8494,0.8473333333333334,0.8517333333333333,0.8554,0.8516,0.8554,0.849,0.8506,0.8548666666666667
k = 19,0.2687333333333333,0.6527333333333334,0.7552,0.7876,0.8054666666666667,0.8266,0.829,0.8358,0.8342666666666667,0.8415333333333334,0.8445333333333334,0.8464666666666667,0.8424,0.8448,0.8428,0.847,0.8542666666666666,0.8508666666666667,0.8514,0.8543333333333333,0.8515333333333334,0.8515333333333334,0.8503333333333334,0.8531333333333333,0.8528666666666667
k = 21,0.27426666666666666,0.6486666666666666,0.7505333333333334,0.7851333333333333,0.8057333333333333,0.8193333333333334,0.8254666666666667,0.8334,0.8399333333333333,0.8416666666666667,0.8414,0.8442666666666667,0.8434,0.8466666666666667,0.8488,0.8447333333333333,0.8516666666666667,0.8516,0.8491333333333333,0.8458666666666667,0.8505333333333334,0.8520666666666666,0.8520666666666666,0.8534,0.8542
k = 23,0.2786666666666667,0.651,0.7522,0.7809333333333334,0.8022666666666667,0.8220666666666666,0.823,0.8308,0.8394666666666667,0.841,0.85,0.8404666666666667,0.8488,0.8400666666666666,0.8517333333333333,0.8452666666666667,0.851,0.851,0.8460666666666666,0.8469333333333333,0.8518666666666667,0.8475333333333334,0.8536666666666667,0.8535333333333334,0.8484
