idx,alpha = 1,alpha = 3,alpha = 5,alpha = 7,alpha = 9,alpha = 11,alpha = 13,alpha = 15,alpha = 17,alpha = 19,alpha = 21,alpha = 23,alpha = 25,alpha = 27,alpha = 29,alpha = 31,alpha = 33,alpha = 35,alpha = 37,alpha = 39,alpha = 41,alpha = 43,alpha = 45,alpha = 47,alpha = 49
k = 1,0.2244738311217712,0.5681021027219602,0.6968319671923711,0.7397364290615689,0.7755779232827478,0.7932434387938357,0.8040705594059905,0.8095579961550525,0.8200882426524487,0.8244888122739257,0.8276448510656144,0.8283275595121831,0.8299144499199362,0.8321871531371572,0.8353747267957115,0.8368669977010015,0.8419847200661005,0.8390153838849379,0.837947534030952,0.8409841391270152,0.8399807791574199,0.837041106179659,0.84550504094698,0.8443470168374724,0.8444517683297607
k = 3,0.22019529120615594,0.5994280970747686,0.7252981684389554,0.7644255001122837,0.7971694035669536,0.8096636367983068,0.8201668116572327,0.8243039877531262,0.8345959018350835,0.8364665215634964,0.8443233528298233,0.8411829291896765,0.8420186152872476,0.8441815812528185,0.8483360764191028,0.8498963101652233,0.847894580472991,0.8488444778159805,0.8473408474639023,0.851794255089904,0.8508751202101109,0.8495971292595298,0.8488005445967113,0.8541096163441324,0.851137013993361
k = 5,0.23598028057249426,0.6135553283240262,0.7339866226072245,0.7796043458462846,0.8074187659327239,0.8217705569016112,0.8241538020219435,0.8321757761400586,0.8382057078449117,0.8391220791137591,0.8444813357296349,0.8418862636864416,0.8497954515263471,0.8517900098443854,0.850783127391639,0.8517129853949171,0.851586375494484,0.8495358614749963,0.84925246602977,0.8562427059538781,0.8542131687069856,0.8531467062552958,0.8606545107472116,0.8589534105482549,0.8563057010884073
k = 7,0.24113817799138756,0.6297061569058922,0.7368189271437591,0.782471616410682,0.8059380712986688,0.8240386473483616,0.830050785742595,0.8322136637315763,0.8425776787417838,0.8402001568307952,0.8421376855981235,0.8488115611763754,0.8462324897277714,0.8526964042947288,0.8549815594806282,0.8488550327198665,0.8515871391325973,0.8575518743851962,0.852630528438415,0.8506949869959236,0.8534541660795361,0.8507262365379404,0.8578305345419285,0.8581633083933836,0.8575866305175369
k = 9,0.2513411877753548,0.6293749595740767,0.7413908598264995,0.7829621854490523,0.8058569457268595,0.8192009583346245,0.8289020732962202,0.8306692217164929,0.8376796358772614,0.8462929149841116,0.8514417112215907,0.8475293629062588,0.8441744217239903,0.845747496339426,0.8519993638734122,0.8507944565646859,0.8515497854178969,0.8500894909736922,0.8516516912080745,0.8525135725722366,0.8545882372290181,0.8544149305042245,0.8555890390140679,0.8568370212050187,0.8581067697037034
k = 11,0.2541167028817848,0.6406215017265751,0.7517878897413228,0.7832505888149474,0.8047473957269975,0.8117442562229644,0.8256078584138498,0.836114001902895,0.8383577143562345,0.8418363198306441,0.8448867361128325,0.8442829340749751,0.8473039521574369,0.8546556935486013,0.8535231675659942,0.8501460827787641,0.8507167751790433,0.85448058141357,0.8534193014853318,0.8561894211587289,0.8519021772009218,0.8552916760823862,0.8569157525319376,0.8547409777578803,0.8568207779251807
k = 13,0.2545669359282667,0.6350629198962133,0.74854299053739,0.7889745544072164,0.805138558866808,0.820706892313626,0.8267776839376605,0.8349563835191904,0.8424253274510578,0.8429093847315169,0.8474464614714561,0.8463113268503877,0.8480722417405502,0.84927178844972,0.8478956113446326,0.8523399422968273,0.8505909985835981,0.855509104931046,0.849830450538796,0.8539205523490507,0.8536325221160462,0.851669589853547,0.8543715181019538,0.8547364583270953,0.852880481081594
k = 15,0.2594356828520605,0.6376536914507853,0.7513002705364624,0.7890924426531096,0.8074967739628928,0.8204674304713248,0.8284622502098433,0.8353775252119944,0.8397671239932303,0.8446569595982808,0.842149640604028,0.8458009958786246,0.8491313637526519,0.8459913568118255,0.8479548060984101,0.8466318348068546,0.8514997328231686,0.84942772280697,0.8505194709497748,0.8494200484033595,0.8519389348953119,0.8546981727142455,0.8518473980473912,0.8540062473362318,0.8525153062570954
k = 17,0.2612511102978221,0.6429945263135004,0.7490445001693914,0.7808272087336776,0.8091296342163637,0.8178201014881393,0.830019910616795,0.8347979998432132,0.841551551131064,0.839120323580253,0.8465243818128497,0.8430202190843101,0.8481311818470673,0.8457190409083435,0.8489728940990122,0.8539310893716412,0.8479621007531891,0.8461505217358972,0.8499057000977641,0.8529122828913502,0.8513701607121312,0.8534571830901161,0.8487424331940792,0.8497222549509758,0.8520654148663261
k = 19,0.25674339865684526,0.6432416095554387,0.7531813315894634,0.7861845288132565,0.8035358240447892,0.8231308255261578,0.827953088037618,0.8339542668664921,0.8326225421330677,0.8390928218629169,0.8439436618783299,0.8454013561294248,0.8426674764496568,0.8446344430193191,0.8432816213888813,0.8451178294331767,0.8520542454245128,0.8496276536102776,0.8502817933997504,0.8541238561565823,0.851869399576147,0.8506151798848695,0.8484671633030787,0.8522103466539523,0.8508811659854946
k = 21,0.26174071340046856,0.6414675038757235,0.7479662578009931,0.7834644686204049,0.8046796053085428,0.8189892579602643,0.8242836603231547,0.8325273210380892,0.8380256520898881,0.8392849800745275,0.8387992610751803,0.8437383738964257,0.8417181905371119,0.8457746747216419,0.8480716187738018,0.8455469748448806,0.851044194503728,0.8508135382933542,0.8480681453654306,0.8456677850424767,0.849610315671929,0.85279342714687,0.8518321076760353,0.8529879859285041,0.8532995070852445
