idx,alpha = 1,alpha = 3,alpha = 5,alpha = 7,alpha = 9,alpha = 11,alpha = 13,alpha = 15,alpha = 17,alpha = 19,alpha = 21,alpha = 23,alpha = 25,alpha = 27,alpha = 29,alpha = 31,alpha = 33,alpha = 35,alpha = 37,alpha = 39,alpha = 41,alpha = 43,alpha = 45,alpha = 47,alpha = 49
k = 1,0.2239906827135721,0.5686873370662624,0.696919913447147,0.7392149279455985,0.7750172533467958,0.7929233337501774,0.8037613855788811,0.8090817646050459,0.819793651419975,0.8242296713753923,0.827175798435789,0.8284924236386451,0.8294179439116727,0.8316063400064152,0.834930622071618,0.8367141356116263,0.841978203213509,0.8385181931305711,0.8379274070012117,0.841041611377754,0.8396630078808277,0.836700708032167,0.8450279151107679,0.8443715648082417,0.8441831468759764
k = 3,0.22723610820617543,0.6059568167573676,0.727505651781826,0.7665878348758677,0.7987327859820244,0.8102077919582993,0.8214726203128327,0.8254464545247219,0.8352793615409245,0.8369129280226874,0.8441302406796204,0.8423258511030177,0.8426204102949484,0.8450648353614183,0.8495010456420584,0.8505702087153562,0.848554369818542,0.8494986157619067,0.8480734798168552,0.8526493276852658,0.8515286620843318,0.8500846523464582,0.8497033320329989,0.8542840495568258,0.8521734504365235
k = 5,0.2411777803898206,0.6176397888132898,0.7373441709055457,0.7818569032002277,0.8080026663358788,0.8228611399294288,0.8256146147611461,0.8329448714938952,0.8399124500681179,0.840449876520865,0.8454519543532776,0.8431471642338912,0.8506541203732961,0.8528976937757673,0.8522196537103076,0.8529287480644167,0.8525713622832752,0.8507124264581417,0.8501663804858721,0.8571284758449472,0.8552604156507144,0.8545361653870323,0.8616945785987851,0.8594675046811538,0.8572388980372837
k = 7,0.24905217052450798,0.6357824900532437,0.7389594102185194,0.7837733025992281,0.807121232157612,0.8255472979858075,0.8308454923609616,0.8331379576295873,0.843488213427916,0.8410367938102399,0.8431313061785385,0.8502049959346796,0.8469621001414465,0.8541988028692661,0.8558767648199188,0.8500692364045594,0.8526407211825038,0.8583763697508051,0.8539935941798273,0.8522392113333209,0.8543809809036402,0.8520556754701027,0.8586261465314348,0.8592077133047124,0.8583544372777763
k = 9,0.2612322837039986,0.6347532001149427,0.7441382118775252,0.7846697962650018,0.8078460601721498,0.8208524307352867,0.8302552513071213,0.8318137485694734,0.8389777118416285,0.8477085503292521,0.8526065916317919,0.8489865798086349,0.8459247847918036,0.8469618798057755,0.853292529731692,0.8518556958197829,0.8524066034385356,0.8510939409605497,0.8526043608609845,0.853328713797383,0.8558924495280948,0.8551838316475401,0.8562748767371378,0.8580795656302153,0.8589254104601667
k = 11,0.2634937058097885,0.6472066750948604,0.7542911162774899,0.7843209218405771,0.8060540091935124,0.8138986777401088,0.8273148265633431,0.8369985219272443,0.8395583696418714,0.8432438910384157,0.8457664444561785,0.8459215744403185,0.8483501531792413,0.8556432380532957,0.8544281494797108,0.8509789590935531,0.8520364380564034,0.855889210565698,0.8544047983854615,0.857193654480881,0.8535196710093412,0.8558968896812346,0.8579101960063931,0.8560353119649605,0.8579277433276928
k = 13,0.2646871099978212,0.6425726306783767,0.7506523199640219,0.7909156355365219,0.8069725562127988,0.8229769334064173,0.8282388971129911,0.8362238336538729,0.8442406714773856,0.8444740095675115,0.8492020809820314,0.8472865782264527,0.849077204424254,0.8508747203353553,0.8489910638074027,0.8535428048823868,0.8512705497170746,0.8558774404315626,0.851011831602461,0.8548847461463323,0.8542782044088517,0.853095316758911,0.8555976933698972,0.8558513695415855,0.8537493598259719
k = 15,0.27141590908324165,0.6437190718904141,0.7536010269766341,0.7903881738705462,0.8086779332673955,0.8218099355651083,0.8295038348485047,0.8360925986326413,0.8406480787084064,0.8455330514423183,0.8430821755181025,0.8475796954640202,0.8505978543958548,0.8469574010093031,0.8497336041096204,0.8480732782189863,0.8527843309889864,0.8503348893387364,0.8515820730782279,0.8505151620053624,0.8533128980197267,0.8557875999581542,0.8529332600533728,0.8551418781672074,0.8543143125783637
k = 17,0.2728713111290003,0.6497488014553879,0.7526298224803345,0.7822763305979695,0.8104695308500738,0.819878432742785,0.8316610330382407,0.8357183799298866,0.8432813516203914,0.8405384367015161,0.8477813678955834,0.8447399140811361,0.84968519945105,0.8464811481822496,0.8501771565209422,0.8545746879538054,0.8492674222442066,0.8467920425210261,0.8509520400338619,0.8542629390048816,0.8527422828377074,0.8543750321827968,0.8499623069683311,0.8505059833523652,0.8529309200392067
k = 19,0.26999762749184497,0.6508798642740714,0.755479272545817,0.789140603369153,0.8050510802242983,0.8243445089526406,0.8286575691295457,0.8347022133828823,0.8338494680161318,0.8400994702072054,0.8452498663113184,0.8466621939421817,0.8442428794683355,0.8455712422310755,0.8438391840452599,0.8458793559404134,0.8527664758601186,0.8508445708556021,0.8510728841834837,0.8554423899562373,0.8527181637391541,0.8520137459578594,0.8491176131495785,0.853468635283105,0.8522287285713489
