idx,alpha = 1,alpha = 3,alpha = 5,alpha = 7,alpha = 9,alpha = 11,alpha = 13,alpha = 15,alpha = 17,alpha = 19,alpha = 21,alpha = 23,alpha = 25,alpha = 27,alpha = 29,alpha = 31,alpha = 33,alpha = 35,alpha = 37,alpha = 39,alpha = 41,alpha = 43,alpha = 45,alpha = 47,alpha = 49
k = 1,3.4548428450070787,4.653621353005292,3.807269547993201,5.070745746998,5.296288875004393,5.7969687189906836,6.468018787010806,6.199268864002079,19.930090102992835,16.167655134995584,15.311396445991704,15.168563983999775,14.817595375003293,15.186903313995572,15.602276403995347,15.918105246993946,15.52121990500018,15.39505031099543,15.620266332989559,16.250261663997662,16.35505376200308,15.444422707005288,15.281513788999291,16.234478889004095,15.905537129001459
k = 3,3.604533821999212,4.849648213988985,4.131156413001008,4.860433142006514,5.891307022000547,5.551204057002906,6.550728261994664,7.23860407799657,19.43631529499544,18.804314014996635,19.26463205899927,16.84908498400182,16.19298141100444,16.77652937300445,18.21400119800819,17.659250087992405,18.288927511996008,18.619937354000285,17.45693861800828,19.383945933994255,19.14403202199901,17.151311976005672,16.49747260400909,17.27619468299963,18.642534054000862
k = 5,3.7193512989906594,4.274776163001661,3.8042723099933937,5.056484842003556,7.13751534599578,5.726988202004577,6.690388600996812,7.443383616991923,22.972246471006656,22.441443217001506,22.518494638003176,21.816614626004593,21.413360064005246,20.146803505005664,19.78700736699102,21.958376833004877,20.119679162002285,20.300865045996034,22.93049940900528,20.581297106007696,20.842850310000358,19.618673685006797,19.862651905001258,20.679244809012744,21.86530033800227
k = 7,3.714280508997035,4.2500342420098605,3.57116656198923,5.473190236996743,6.234351791004883,5.4607451719930395,6.228420970001025,7.416748343996005,21.607447572998353,22.024914885987528,21.81433606299106,18.935561448000954,20.379667727000196,21.065226809005253,20.27223651400709,22.207597986998735,19.547716147004394,21.7243330610072,22.474299787005293,19.345440592995146,21.725334629009012,22.034313743992243,20.90585435400135,20.957859766000183,19.296672056996613
k = 9,3.5709730179951293,3.960103449993767,4.161734034001711,5.3891784099978395,6.488286186999176,5.484966178002651,7.041790563991526,7.002519547997508,21.275306123003247,20.53261550499883,20.97312443300325,18.81751878200157,20.062883545004297,19.822828675998608,21.095493408996845,23.142287800001213,20.12463120400207,20.147174792000442,20.65356983699894,19.852807205999852,19.647708072996465,20.59742657400784,21.27323619600793,20.343215225992026,20.075042687996756
k = 11,3.9589924350002548,4.0199860309949145,3.747604311007308,5.772593432004214,6.109798520003096,5.490565198007971,6.8188104379951255,7.904588192002848,20.502280672997585,22.617392189000384,22.233135682996362,18.721700494003017,21.829338224997628,20.379440962002263,20.327136198000517,21.009063349003554,20.549139445996843,21.15223067899933,20.55384945300466,20.002496114000678,20.23832908399345,19.10392737700022,22.769152377004502,21.063050183991436,22.52497411299555
k = 13,4.270335335007985,4.264429475995712,4.860744903999148,5.001113081991207,5.701677894991008,6.053966562001733,6.399568419001298,7.433987897995394,20.341548563999822,20.72824072500225,21.076975556003163,20.15166402499017,20.869866983994143,19.667463158999453,20.088301266994677,20.964945044994238,20.231775557011133,21.799940627999604,20.11775593899074,21.82866835099412,20.531696742997156,19.196971051991568,21.9377327819966,21.585852748001344,23.11799960100325
k = 15,4.0189404410048155,4.074988709995523,5.0140103779995115,4.980636680993484,5.754924378998112,6.229017099001794,6.965906402998371,7.756207269005245,20.38515090200235,21.547230301992386,20.301797805004753,21.216918045000057,19.04805015999591,19.643615654000314,22.283533816007548,20.84556031601096,20.1818630300113,22.133197957009543,22.139916190004442,23.9778356510069,22.845092186005786,20.621626437001396,22.48442815299495,22.63166518798971,22.540868960000807
k = 17,3.7868907089869026,4.1979516169958515,5.330870528996456,5.519553785008611,6.267189634003444,6.0571487300039735,6.329364927994902,7.57814825999958,20.445681545999832,22.95975812400866,20.624089592995006,22.528096798996557,20.123879271995975,20.027820441988297,20.149320910000824,21.439352967994637,22.75963940800284,20.470768637009314,20.95078003499657,20.3292848150013,21.407125658006407,21.09195394499693,20.731495662999805,21.467288401006954,19.887210307002533
k = 19,3.662882221993641,3.8661739630042575,4.355111320008291,5.54033647000324,5.633948628004873,5.913861223991262,6.23186951498792,7.351337995991344,20.904175471994677,20.71948223801155,21.79635014499945,20.309838840999873,20.30842398200184,19.50521404000756,21.73824119400524,21.590530827001203,21.51002655600314,22.487638014994445,20.66923770798894,20.733336267992854,22.24603799000033,19.994905750005273,21.51469639199786,23.889745517997653,21.190908104996197
k = 21,4.289326673009782,3.9282920209952863,4.345081306993961,5.384072597997147,5.962963790996582,6.036213311992469,6.751563502999488,7.430806870004744,20.734132052995847,22.387123231004807,20.959526506994735,19.895012098000734,21.424336533993483,20.19787475600606,20.60901521499909,19.36110880500928,20.95007459599583,22.112969213994802,21.513564086999395,20.197558309999295,19.142164049000712,22.824397296993993,19.795107566998922,20.63033005199395,19.81425655199564
k = 23,3.9774979860085296,3.7609628990030615,3.8810807240079157,5.187372351996601,5.741224504992715,6.0796592160040746,6.63795596100681,7.786471851999522,20.30889375200786,21.29089258601016,20.278603368002223,21.475278623009217,19.727975055997376,20.422149133999483,20.319962378998753,21.501102196998545,20.94501197199861,21.616455264011165,21.51754540199181,21.547233847988537,20.797832907002885,21.33048034401145,20.747380727989366,21.115948753998964,20.612980224992498
k = 25,3.3686832649982534,3.8660638549918076,3.8688386190042365,5.38564425399818,5.633395550001296,6.278905332001159,6.718230002996279,8.666161936998833,22.45226937199186,21.43755349899584,20.697580965003,22.70128339099756,19.595113331000903,19.338826550010708,20.028042095000274,20.262372794008115,20.206465348994243,20.741406954999547,18.93302609999955,24.218823396993685,20.934992479000357,21.89315530199383,20.80267566400289,21.004550391997327,21.075047410005936
k = 27,3.4513856179983122,3.924456709995866,3.982519373006653,5.6299661840021145,5.994654591995641,6.4613743910013,6.752157723996788,8.632439091001288,21.636397581998608,21.140441420007846,19.87101751798764,21.90080496300652,20.28162080999755,19.957542207994265,20.75384970899904,21.015717778995167,21.405971897998825,21.19499645200267,22.40299802100344,22.719771464006044,22.664993416998186,20.366074492005282,21.250709738989826,20.191282836996834,19.301198428001953
k = 29,4.0941097360046115,4.141496623007697,3.912302479002392,5.186454925991711,5.536213960003806,6.8687488559953636,7.098045660008211,7.7655711520055775,22.02264317299705,20.312309539993294,20.008283114002552,23.00347839400638,19.778206648989,19.61874858199735,22.029729041008977,20.869726114004152,20.71169244100747,20.251516593009,20.97444793699833,20.064250668991008,21.143802946986398,21.67067913300707,19.249876068992307,20.02338727800816,21.751880178999272
k = 31,4.3098299440025585,4.157114768007887,4.023257716005901,5.514841972995782,5.728930405006395,5.93709040399699,6.9036759349983186,8.348914364993107,23.877648032008437,22.02379964699503,21.73097002200666,20.841903281005216,19.48711122800887,20.658374207007,20.46509773399157,21.245319661000394,19.485494922002545,22.236781331012025,20.847626164002577,23.31320054999378,19.797194489001413,22.53061849900405,19.821831098000985,19.99450273900584,20.352209739998216
k = 33,4.615515383993625,3.9515948700136505,3.9247627839940833,5.185318666990497,5.377357823992497,6.681533549999585,7.023323077009991,8.652202225013752,24.999353349994635,20.595075937002548,20.566630878995056,20.829313080001157,19.503825068997685,21.359375487008947,21.137846944999183,21.798396293001133,20.161738113994943,20.382406607997837,21.00240549299633,22.48758964201261,19.589735399000347,19.822916892997455,19.832424767999328,20.42724998400081,20.46139687500545
k = 35,4.2512494059919845,4.827480742998887,4.251270826003747,5.091262904010364,5.484192682008143,7.118059165004524,7.858198542002356,8.96149461400637,23.270771023991983,20.384382824006025,21.8083284930035,21.713676775005297,20.882325377999223,18.967450459007523,21.624800496007083,21.554573382003582,20.09116628598713,20.877626575005706,21.590605635996326,22.135239543000353,19.166618357005063,20.789903187993332,21.264015884997207,21.13222057200619,21.455906243005302
k = 37,4.246828347997507,4.938046442010091,4.363352185013355,5.27678926999215,5.8719905960024334,7.210115591005888,7.057276762003312,7.8926174259977415,21.740395129003446,21.34737454399874,20.523635601988644,19.91075274600007,21.987030244999914,19.618587562988978,20.182348825008376,21.39161562001391,19.02733233400795,21.081975416003843,20.336803736994625,22.361243976993137,22.133113012998365,19.60803085799853,20.520753775999765,20.4011940620112,20.915075126002193
k = 39,4.547129208003753,4.118384696994326,3.7339472970052157,5.15401743799157,5.958801932007191,7.159008996008197,6.83920410599967,8.303598372993292,22.442529812993598,21.46099204198981,20.553306960995542,20.161159462993965,21.11415572599799,21.280784777001827,20.8177249750006,22.934235875000013,21.632495382000343,19.149162414003513,20.652504124998813,19.34512349301076,21.099763625999913,20.424563977998332,20.600044969003648,20.135279112990247,19.897016533999704
k = 41,4.105983084999025,3.9392442169919377,3.9182723730045836,5.116676842997549,6.0029459789948305,7.054781697996077,6.812679181006388,9.028296595002757,22.614558260000194,21.063238675997127,19.901822348998394,19.26932252199913,19.677996380996774,20.958309042995097,20.735233621002408,19.476116433012066,19.70164281099278,19.10230181699444,20.039826777996495,20.832161411002744,19.350749853008892,20.197809072997188,20.94077963900054,19.823505908992956,22.201230129008763
k = 43,4.362380933001987,4.005331024003681,4.48313689698989,5.959734467003727,6.06978786700347,6.7165578120038845,6.89454655899317,8.219585621001897,21.054517542987014,21.677588949998608,20.3020523449959,20.469947859004606,19.623930541987647,21.0036298490013,20.68923684800393,20.411509629993816,19.766853780995007,20.04653167798824,19.96167138799501,21.028256006000447,19.57380547998764,19.62101595099375,20.30623906000983,19.90603401401313,21.474713265997707
k = 45,3.9436910599906696,4.1200372710009106,4.390187008000794,5.949033832992427,6.034996757996851,6.414429160999134,6.85021043800225,8.146525550997467,21.461611878999975,22.154374958001426,20.127343457003008,20.704551200993592,21.174985031000688,19.453252432998852,21.208720538998023,21.147241295999265,20.554871190004633,21.20770522300154,22.532134978988324,21.83860935100529,19.9776236339967,20.134856877004495,19.720936764992075,20.7698489530012,24.074064422995434
k = 47,4.221717831998831,4.8589966199942864,4.214843936992111,5.765715974994237,6.1830256120010745,6.1014263239922,7.898200180003187,8.371730817991192,21.8797714439861,22.52017913101008,19.996221533991047,19.30272603900812,22.82347256000503,22.70693855799618,21.65048752698931,21.368737608994707,20.510461925005075,20.643080565001583,21.34615828000824,22.939702988995123,19.16159095299372,20.74546372500481,20.078772634995403,19.867976613997598,22.718405106992577
k = 49,4.061668775990256,4.650470207008766,4.474841631003073,5.23774835500808,5.883960650011431,7.207744390005246,7.436119129008148,8.082676650999929,22.312221980988397,21.029703770997003,21.203321904991753,17.823530188994482,21.216800713009434,20.72611091400904,20.873342604987556,21.100231564996648,20.343436855997425,22.42547761599417,21.58332732001145,22.229978424991714,20.158911367994733,20.25816681300057,18.707544853998115,20.884618978001527,20.104442213996663
